return_id,order_id,customer_id,return_date,return_reason,return_amount,return_status
RET_0001,ORD_00005,CUST_00002,2025-10-09,Wrong Item Delivered,265403,refunded
RET_0002,ORD_00036,CUST_00012,2025-05-01,No Longer Required,37901,refunded
RET_0003,ORD_00037,CUST_00012,2025-09-13,Bad Quality,455874,refund_in_process
RET_0004,ORD_00064,CUST_00016,2025-09-27,Size Issues,28502,refunded
RET_0005,ORD_00072,CUST_00018,2024-08-30,Damaged,16418,refunded
RET_0006,ORD_00086,CUST_00022,2024-08-15,Damaged,563638,refund_in_process
RET_0007,ORD_00101,CUST_00025,2025-05-19,Color Mismatch,58465,refunded
RET_0008,ORD_00107,CUST_00025,2025-03-09,No Longer Required,13423,refund_in_process
RET_0009,ORD_00118,CUST_00027,2025-09-13,Bad Quality,45840,refunded
RET_0010,ORD_00121,CUST_00028,2025-09-22,No Longer Required,8010,refund_in_process
RET_0011,ORD_00125,CUST_00028,2025-10-24,No Longer Required,35538,refund_in_process
RET_0012,ORD_00133,CUST_00029,2025-05-20,No Longer Required,365557,refunded
RET_0013,ORD_00151,CUST_00034,2026-01-05,Color Mismatch,41003,refund_in_process
RET_0014,ORD_00160,CUST_00035,2025-06-12,Bad Quality,16737,refund_in_process
RET_0015,ORD_00168,CUST_00038,2023-12-23,Damaged,11127,refunded
RET_0016,ORD_00173,CUST_00039,2025-09-20,Damaged,604139,refunded
RET_0017,ORD_00179,CUST_00040,2025-05-28,Damaged,534798,refund_in_process
RET_0018,ORD_00181,CUST_00040,2025-08-08,Size Issues,57278,refunded
RET_0019,ORD_00196,CUST_00043,2025-07-31,Wrong Item Delivered,660582,refunded
RET_0020,ORD_00207,CUST_00046,2026-01-11,Bad Quality,187479,refunded
RET_0021,ORD_00212,CUST_00047,2025-12-21,Bad Quality,98749,refund_in_process
RET_0022,ORD_00217,CUST_00048,2025-03-09,Color Mismatch,56732,refunded
RET_0023,ORD_00222,CUST_00049,2025-10-01,Size Issues,147049,refund_in_process
RET_0024,ORD_00281,CUST_00069,2025-01-03,No Longer Required,465071,refund_in_process
RET_0025,ORD_00292,CUST_00072,2024-10-05,No Longer Required,544412,refund_in_process
RET_0026,ORD_00308,CUST_00074,2025-10-13,Color Mismatch,183481,refund_in_process
RET_0027,ORD_00311,CUST_00074,2025-09-24,Size Issues,897163,refund_in_process
RET_0028,ORD_00321,CUST_00076,2024-12-20,Color Mismatch,24395,refunded
RET_0029,ORD_00335,CUST_00080,2025-10-03,Size Issues,1104735,refunded
RET_0030,ORD_00349,CUST_00082,2025-11-01,Bad Quality,673787,refunded
RET_0031,ORD_00357,CUST_00084,2025-04-23,Wrong Item Delivered,87143,refunded
RET_0032,ORD_00360,CUST_00084,2026-01-05,No Longer Required,69178,refunded
RET_0033,ORD_00365,CUST_00084,2025-12-24,Wrong Item Delivered,10625,refund_in_process
RET_0034,ORD_00370,CUST_00085,2025-09-09,Wrong Item Delivered,849010,refunded
RET_0035,ORD_00381,CUST_00086,2025-12-09,Bad Quality,430531,refunded
RET_0036,ORD_00392,CUST_00088,2025-09-27,Bad Quality,45979,refunded
RET_0037,ORD_00395,CUST_00088,2025-07-11,Wrong Item Delivered,543261,refunded
RET_0038,ORD_00445,CUST_00105,2025-08-03,Color Mismatch,643189,refund_in_process
RET_0039,ORD_00452,CUST_00107,2025-03-27,Damaged,392080,refunded
RET_0040,ORD_00461,CUST_00109,2025-12-06,Size Issues,1125791,refund_in_process
RET_0041,ORD_00468,CUST_00111,2024-04-14,Bad Quality,496273,refunded
RET_0042,ORD_00489,CUST_00113,2025-03-20,Size Issues,329323,refund_in_process
RET_0043,ORD_00492,CUST_00114,2025-12-24,Color Mismatch,192484,refund_in_process
RET_0044,ORD_00494,CUST_00114,2025-12-28,Size Issues,102371,refunded
RET_0045,ORD_00505,CUST_00117,2025-08-04,No Longer Required,44029,refund_in_process
RET_0046,ORD_00511,CUST_00118,2023-12-04,Size Issues,1233106,refund_in_process
RET_0047,ORD_00539,CUST_00125,2025-03-20,Wrong Item Delivered,15836,refund_in_process
RET_0048,ORD_00544,CUST_00127,2024-10-30,Wrong Item Delivered,247754,refund_in_process
RET_0049,ORD_00552,CUST_00129,2025-06-01,Color Mismatch,943230,refunded
RET_0050,ORD_00558,CUST_00130,2025-12-25,Wrong Item Delivered,839945,refunded
RET_0051,ORD_00570,CUST_00131,2024-11-28,Color Mismatch,5239,refunded
RET_0052,ORD_00572,CUST_00131,2024-05-24,Size Issues,886152,refunded
RET_0053,ORD_00584,CUST_00134,2024-11-14,Size Issues,590166,refunded
RET_0054,ORD_00589,CUST_00136,2024-08-28,Color Mismatch,662214,refund_in_process
RET_0055,ORD_00590,CUST_00136,2025-07-29,Color Mismatch,15717,refund_in_process
RET_0056,ORD_00606,CUST_00139,2025-12-16,Color Mismatch,95398,refunded
RET_0057,ORD_00610,CUST_00140,2025-12-02,Bad Quality,795221,refunded
RET_0058,ORD_00615,CUST_00141,2026-01-07,No Longer Required,26254,refund_in_process
RET_0059,ORD_00616,CUST_00141,2026-01-01,Wrong Item Delivered,7184,refund_in_process
RET_0060,ORD_00622,CUST_00142,2024-03-28,No Longer Required,909046,refunded
RET_0061,ORD_00631,CUST_00144,2025-10-10,Color Mismatch,1711792,refunded
RET_0062,ORD_00667,CUST_00151,2025-01-31,Damaged,13056,refund_in_process
RET_0063,ORD_00672,CUST_00152,2025-08-26,Bad Quality,336115,refunded
RET_0064,ORD_00673,CUST_00152,2025-12-08,Wrong Item Delivered,7618,refunded
RET_0065,ORD_00674,CUST_00153,2025-09-27,Damaged,83774,refund_in_process
RET_0066,ORD_00694,CUST_00158,2025-04-08,Size Issues,922413,refund_in_process
RET_0067,ORD_00712,CUST_00162,2024-11-11,Size Issues,7524,refunded
RET_0068,ORD_00735,CUST_00171,2025-10-17,Wrong Item Delivered,9159,refund_in_process
RET_0069,ORD_00739,CUST_00173,2025-04-12,No Longer Required,331973,refunded
RET_0070,ORD_00745,CUST_00175,2025-05-24,Size Issues,546468,refunded
RET_0071,ORD_00750,CUST_00178,2025-09-26,Damaged,105641,refund_in_process
RET_0072,ORD_00756,CUST_00179,2026-01-08,Wrong Item Delivered,9792,refund_in_process
RET_0073,ORD_00760,CUST_00181,2025-08-05,Damaged,326790,refund_in_process
RET_0074,ORD_00763,CUST_00181,2024-06-16,Bad Quality,43160,refunded
RET_0075,ORD_00811,CUST_00189,2025-02-07,Color Mismatch,1232704,refund_in_process
RET_0076,ORD_00820,CUST_00192,2024-09-27,Wrong Item Delivered,60680,refunded
RET_0077,ORD_00832,CUST_00195,2025-12-31,Damaged,46805,refunded
RET_0078,ORD_00849,CUST_00198,2025-10-10,Damaged,153078,refund_in_process
